parent_nuclide,parent_original,production_rate,nuclide,original_nuclide,atom_number,activity_Bq,is_stable,decay_constant,half_life,half_life_seconds
Ra225,Ra225,0.000136,Ra225,Ra225,4.6916313166405075e+17,252609294941.28387,False,5.384252893984164e-07,14.90 天,1287360.0
Ra225,Ra225,0.000136,Ac225,Ac-225,9.374165865713586e+16,75204590739.82234,False,8.022536812036404e-07,10.00 天,864000.0
Ra225,Ra225,0.000136,Fr221,Fr-221,31872603889274.41,75144236472.63437,False,0.002357643471292331,4.90 分钟,294.0
Ra225,Ra225,0.000136,At217,At-217,0.0,0.0,False,21.459665032815643,3.23e-02 秒,0.0323
Ra224,Ra224,0.000125,Ra224,Ra224,2.418943746767586e+17,530220362149.9514,False,2.191949948643826e-06,3.66 天,316224.0
Ra224,Ra224,0.000125,Rn220,Rn-220,42529688583190.34,530203844092.282,False,0.012466675909351533,55.60 秒,55.6
Ra224,Ra224,0.000125,Po216,Po-216,110913747185.71382,530203801014.5938,False,4.780325383172037,1.45e-01 秒,0.145
Ra224,Ra224,0.000125,Pb212,Pb-212,0.0,0.0,False,1.8095947696322715e-05,10.64 小时,38304.0
Ra226,Ra226,3.1e-06,Ra226,Ra226,1.337370756643106e+16,183595.743566021,False,1.372811112057356e-11,1601.06 年,50491081728.0
Ra226,Ra226,3.1e-06,Rn222,Rn-222,47110642614.400795,98848.40188641853,False,2.0982180755947176e-06,3.82 天,330350.4
Ra226,Ra226,3.1e-06,Po218,Po-218,26512303.68139609,98800.69111241268,False,0.0037265977449459425,3.10 分钟,186.0
Ra226,Ra226,3.1e-06,Pb214,Pb-214,0.0,0.0,False,0.00043106167945270227,26.80 分钟,1608.0
Ra226,Ra226,3.1e-06,At218,At-218,0.0,0.0,False,0.46209812037329684,1.50 秒,1.5
Ra223,Ra223,2.17e-06,Ra223,Ra223,7019444526718503.0,4926837455.437151,False,7.018842355237448e-07,11.43 天,987552.0
Ra223,Ra223,2.17e-06,Rn219,Rn-219,28147243542.47563,4926813763.131594,False,0.175037166808067,3.96 秒,3.96
Ra223,Ra223,2.17e-06,Po215,Po-215,12659151.676951777,4926813752.47604,False,389.1898824031136,1.78e-03 秒,0.001781
Ra223,Ra223,2.17e-06,Pb211,Pb-211,0.0,0.0,False,0.0003200125487349701,36.10 分钟,2166.0
Rn222,Rn222,5.02e-11,Rn222,Rn222,99967915405.89066,209754.4870841634,False,2.0982180755947176e-06,3.82 天,330350.4
Rn222,Rn222,5.02e-11,Po218,Po-218,56279603.50174452,209731.4434960529,False,0.0037265977449459425,3.10 分钟,186.0
Rn222,Rn222,5.02e-11,Pb214,Pb-214,485984621.82706606,209489.3472729615,False,0.00043106167945270227,26.80 分钟,1608.0
Rn222,Rn222,5.02e-11,Bi214,Bi-214,0.0,0.0,False,0.0005805252768508755,19.90 分钟,1194.0
Rn222,Rn222,5.02e-11,At218,At-218,90.77347360356882,41.94625153196423,False,0.46209812037329684,1.50 秒,1.5
Rn222,Rn222,5.02e-11,Rn218,Rn-218,0.0,0.0,False,19.804205158855577,3.50e-02 秒,0.035
Ra222,Ra222,3.71e-09,Ra222,Ra222,1015572674.5239516,18524772.0,False,0.018240715277893296,38.00 秒,38.0
Ra222,Ra222,3.71e-09,Rn218,Rn-218,935395.8844299555,18524772.0,False,19.804205158855577,3.50e-02 秒,0.035
Ra222,Ra222,3.71e-09,Po214,Po-214,4391.01553748119,18524771.999999996,False,4218.789899938803,1.64e-04 秒,0.0001643
Ra222,Ra222,3.71e-09,Pb210,Pb-210,0.0,0.0,False,9.894134140953916e-10,22.21 年,700563758.9760001
Fr224,Fr224,4.7e-10,Fr224,Fr224,676467354.049129,2346804.0,False,0.0034692051079076337,3.33 分钟,199.8
Fr224,Fr224,4.7e-10,Ra224,Ra-224,909420981435.9103,1993405.2735540613,False,2.191949948643826e-06,3.66 天,316224.0
Fr224,Fr224,4.7e-10,Rn220,Rn-220,159893715.12381208,1993343.126390745,False,0.012466675909351533,55.60 秒,55.6
Fr224,Fr224,4.7e-10,Po216,Po-216,0.0,0.0,False,4.780325383172037,1.45e-01 秒,0.145
Fr223,Fr223,3.99e-12,Fr223,Fr223,37940262.18032876,19922.868,False,0.000525111500424201,22.00 分钟,1320.0
Fr223,Fr223,3.99e-12,Ra223,Ra-223,12886004248.282185,9044.483240761268,False,7.018842355237448e-07,11.43 天,987552.0
Fr223,Fr223,3.99e-12,Rn219,Rn-219,51671.53801741407,9044.439619183482,False,0.175037166808067,3.96 秒,3.96
Fr223,Fr223,3.99e-12,Po215,Po-215,0.0,0.0,False,389.1898824031136,1.78e-03 秒,0.001781
Fr223,Fr223,3.99e-12,At219,At-219,96.57521282265502,1.19537208,False,0.012377628224284737,56.00 秒,56.0
Fr223,Fr223,3.99e-12,Bi215,Bi-215,762.8062167092279,1.1595109175999998,False,0.001520059606491108,7.60 分钟,456.0
Rn220,Rn220,7.04e-12,Rn220,Rn220,2819687.3212715504,35152.128,False,0.012466675909351533,55.60 秒,55.6
Rn220,Rn220,7.04e-12,Po216,Po-216,7353.501107632641,35152.128,False,4.780325383172037,1.45e-01 秒,0.145
Rn220,Rn220,7.04e-12,Pb212,Pb-212,1942541108.2394977,35152.122292658714,False,1.8095947696322715e-05,10.64 小时,38304.0
Rn220,Rn220,7.04e-12,Bi212,Bi-212,0.0,0.0,False,0.0001907919572144083,1.01 小时,3633.0
Fr222,Fr222,1.48e-13,Fr222,Fr222,908353.3264773174,738.9936,False,0.0008135530288262268,14.20 分钟,852.0
Fr222,Fr222,1.48e-13,Ra222,Ra-222,40513.411274809936,738.9936000000001,False,0.018240715277893296,38.00 秒,38.0
Fr222,Fr222,1.48e-13,Rn218,Rn-218,37.31498406890388,738.9935999999999,False,19.804205158855577,3.50e-02 秒,0.035
Fr222,Fr222,1.48e-13,Po214,Po-214,0.0,0.0,False,4218.789899938803,1.64e-04 秒,0.0001643
Rn219,Rn219,5.47e-15,Rn219,Rn219,156.0400256589461,27.312804,False,0.175037166808067,3.96 秒,3.96
Rn219,Rn219,5.47e-15,Po215,Po-215,0.07017860749964216,27.312804,False,389.1898824031136,1.78e-03 秒,0.001781
Rn219,Rn219,5.47e-15,Pb211,Pb-211,85349.1655498175,27.312804000000003,False,0.0003200125487349701,36.10 分钟,2166.0
Rn219,Rn219,5.47e-15,Bi211,Bi-211,0.0,0.0,False,0.005398342527725431,2.14 分钟,128.4
Po218,Po218,7.15e-17,Po218,Po218,95.8015392147399,0.3570138,False,0.0037265977449459425,3.10 分钟,186.0
Po218,Po218,7.15e-17,Pb214,Pb-214,828.0541144209157,0.35694239724,False,0.00043106167945270227,26.80 分钟,1608.0
Po218,Po218,7.15e-17,Bi214,Bi-214,614.8610774991126,0.35694239724,False,0.0005805252768508755,19.90 分钟,1194.0
